vehicle id,latitude,longitude,timestamp
6472,45.414024,-75.63496,1738384242
6550,45.40988,-75.63444,1738384242
6472,45.414024,-75.63496,1738384308
6673,45.410038,-75.63423,1738384308
6472,45.414024,-75.63496,1738384368
6555,45.409214,-75.63558,1738384368
6472,45.414024,-75.63496,1738384429
6433,45.414234,-75.63593,1738384429
6472,45.414024,-75.63496,1738384490
8170,45.409065,-75.63413,1738384490
6472,45.414024,-75.63496,1738384517
6433,45.414234,-75.63593,1738384517
6472,45.414024,-75.63496,1738384577
8171,45.40925,-75.63391,1738384577
6472,45.414024,-75.63496,1738384638
8171,45.40925,-75.63391,1738384638
6472,45.414024,-75.63496,1738384699
8171,45.40925,-75.63391,1738384699
6472,45.414024,-75.63496,1738384760
8173,45.41084,-75.6363,1738384760
6472,45.414024,-75.63496,1738384821
4804,45.379486,-75.73323,1738384821
6472,45.414024,-75.63496,1738384896
4804,45.385643,-75.73216,1738384896
6472,45.414024,-75.63496,1738384957
4806,45.403774,-75.73661,1738384957
6472,45.414024,-75.63496,1738385017
4806,45.403774,-75.73661,1738385017
6472,45.414024,-75.63496,1738385079
6424,45.41023,-75.63428,1738385079
6472,45.414024,-75.63496,1738385139
6666,45.409233,-75.634224,1738385139
6472,45.414024,-75.63496,1738385200
4809,45.364388,-75.78273,1738385200
6472,45.414024,-75.63496,1738385260
6666,45.409233,-75.634224,1738385260
6472,45.414024,-75.63496,1738385321
6666,45.409233,-75.634224,1738385321
6472,45.414024,-75.63496,1738385381
6666,45.409233,-75.634224,1738385381
6472,45.414024,-75.63496,1738385442
6560,45.409683,-75.63445,1738385442
6472,45.414024,-75.63496,1738385503
4384,45.464745,-75.4487,1738385503
6472,45.414024,-75.63496,1738385564
6564,45.409695,-75.63454,1738385564
6472,45.414024,-75.63496,1738385624
6564,45.409695,-75.63454,1738385624
6472,45.414024,-75.63496,1738385685
4384,45.46455,-75.44848,1738385685
6351,45.343353,-75.71159,1738385745
6444,45.40929,-75.634514,1738385745
6351,45.343353,-75.71159,1738385806
4819,45.414433,-75.63306,1738385806
6351,45.343353,-75.71159,1738385866
4819,45.414433,-75.63306,1738385866
6351,45.343353,-75.71159,1738385928
6557,45.311314,-75.902695,1738385928
6351,45.343353,-75.71159,1738385988
6558,45.4097,-75.634514,1738385988
6351,45.343353,-75.71159,1738386049
4811,45.356106,-75.78136,1738386049
6351,45.343353,-75.71159,1738386109
6452,45.414597,-75.63573,1738386109
6351,45.343353,-75.71159,1738386171
6452,45.414597,-75.63573,1738386171
6351,45.343353,-75.71159,1738386231
4391,45.4754,-75.51839,1738386231
6351,45.343353,-75.71159,1738386292
4706,45.348915,-75.76846,1738386292
6351,45.343353,-75.71159,1738386352
4829,45.39051,-75.75714,1738386352
6351,45.343353,-75.71159,1738386412
4829,45.3928,-75.75231,1738386412
6351,45.343353,-75.71159,1738386474
4820,45.383507,-75.68904,1738386474
6351,45.343353,-75.71159,1738386534
4703,45.477867,-75.52008,1738386534
6351,45.343353,-75.71159,1738386595
4825,45.35541,-75.782585,1738386595
6351,45.343353,-75.71159,1738386655
6461,45.410248,-75.63435,1738386655
6351,45.343353,-75.71159,1738386716
6461,45.410248,-75.63435,1738386716
6351,45.343353,-75.71159,1738386776
6460,45.343063,-75.71089,1738386776
6351,45.343353,-75.71159,1738386837
6464,45.414383,-75.63503,1738386837
6351,45.343353,-75.71159,1738386898
6463,45.343193,-75.712585,1738386898
6351,45.343353,-75.71159,1738386959
6466,45.342876,-75.71093,1738386959
6351,45.343353,-75.71159,1738387019
6699,45.410187,-75.63412,1738387019
6351,45.343353,-75.71159,1738387079
4715,45.42572,-75.6448,1738387079
6351,45.343353,-75.71159,1738387140
4835,45.29027,-75.8919,1738387140
